,name,price,parent category,subcategory,url
0,SPIDER MAN HAIR SHAMPOO 400ML,5.25,KÖRPƏ VƏ UŞAQLAR,UŞAQLAR ÜÇÜN ŞAMPUN VƏ QULLUQ VASİTƏLƏRİ,https://bravomarket.online/catalog/baby-and-child/shampoo_and_care_for_kids/214037_spider_man_hair_shampoo_400ml_4690494004231/
1,PRINCESS SHAMPOO 2IN1 KAL. MALINKA 400ML,5.99,KÖRPƏ VƏ UŞAQLAR,UŞAQLAR ÜÇÜN ŞAMPUN VƏ QULLUQ VASİTƏLƏRİ,https://bravomarket.online/catalog/baby-and-child/shampoo_and_care_for_kids/214023_princess_shampoo_2in1_kalinka_malinka_400ml_4670002411676/
2,SPIDER MAN WASHING GEL 400ML,4.99,KÖRPƏ VƏ UŞAQLAR,UŞAQLAR ÜÇÜN ŞAMPUN VƏ QULLUQ VASİTƏLƏRİ,https://bravomarket.online/catalog/baby-and-child/shampoo_and_care_for_kids/214035_spider_man_washing_gel_400ml_4690494004248/
3,QADKIY YA MAYE SABUN BANAN 300ML,3.15,KÖRPƏ VƏ UŞAQLAR,UŞAQ ÜÇÜN SABUN,https://bravomarket.online/catalog/baby-and-child/soap_for_kids/312126_despicable_me_liqid_soap_300_ml_4690494038274/
4,HUGGIES MEGA USAQ BEZİ OGLAN ÜÇÜN N4 66ED,41.79,KÖRPƏ VƏ UŞAQLAR,UŞAQLAR ÜÇÜN BEZ VƏ NƏM SALFET,https://bravomarket.online/catalog/baby-and-child/kids_nappies_and_wet_wipes/562272_huggies_mega_baby_diapers_for_boy_n4_66_units_5029053543611/
5,HEINZ PÜRE ALMA ŞAFTALI QAYMAQ 90 QR,2.19,KÖRPƏ VƏ UŞAQLAR,UŞAQ YİYƏCƏK VƏ İÇƏCƏKLƏR,https://bravomarket.online/catalog/baby-and-child/baby-food-and-drinks/284252_heinz_puree_apple_90_gr_4680002478166/
6,ARILAC GECE YEMEYI SUDLU VE 7 TAXILLI SIYIQ 200 GR,2.79,KÖRPƏ VƏ UŞAQLAR,UŞAQ YİYƏCƏK VƏ İÇƏCƏKLƏR,https://bravomarket.online/catalog/baby-and-child/baby-food-and-drinks/541438_arilac_night_dinner_7_grained_urine_200_gr_8696540186186/
7,HUGGIES MEGA USAQ BEZİ OGLAN ÜÇÜN N4+ 60 ED,41.79,KÖRPƏ VƏ UŞAQLAR,UŞAQLAR ÜÇÜN BEZ VƏ NƏM SALFET,https://bravomarket.online/catalog/baby-and-child/kids_nappies_and_wet_wipes/562276_huggies_mega_baby_diapers_for_boy_n4_60_units_5029053543789/
8,FROSCH -GEL BABY DRESS WASH 1500QR,16.1,KÖRPƏ VƏ UŞAQLAR,UŞAQ QABLARI ÜÇÜN QABYUYAN GEL,https://bravomarket.online/catalog/baby-and-child/dishwasher_gel_for_kids/514799_frosch_washing_baby_gel_1500qr_4009175924087/
9,HUGGIES MEGA USAQ BEZİ OGLAN ÜÇÜN N3 80ED,41.79,KÖRPƏ VƏ UŞAQLAR,UŞAQLAR ÜÇÜN BEZ VƏ NƏM SALFET,https://bravomarket.online/catalog/baby-and-child/kids_nappies_and_wet_wipes/223041_huggies_mega_baby_diapers_for_boy_n3_80_units_5029053543598/
